time,fcacc,rlvacc,frtjacc,frtmacc,fbracc,rlwacc,crtacc,rleavc,frootcj,frootcm,fbrchc,rlwodc,crootc,strucc(1),strucc(2),metabc(1),metabc(2),som1c(1),som1c(2),som2c(1),som2c(2),som3c,dslit,dsom2c(1),dsom2c(2),dsom3c,dsomtc,dsomsc,nppt,nstemp,natemp,Condition
1995,0,0,0,0,0,0,0,0.682,176.5453,144.975,770.5903,5974.559,1448.368,536.0382,245.5631,68.1354,56.6855,31.6856,68.4671,796.4579,2534.719,2973.649,155.4682,269.804,187.508,-12.9765,85.3549,79.9994,0.165483871,-1.639803226,-4.250806452,N_addition
1995.08,0,0,0,0,0,0,0,0.682,156.7618,141.1551,768.2819,5971.577,1447.646,533.6044,248.7329,67.2638,67.2731,32.6545,69.0583,796.5112,2534.594,2973.672,155.3988,269.5912,187.4983,-12.9738,85.4355,79.9954,0.1993103448,-0.6490517241,-3.554310345,N_addition
1995.17,0,0,0,0,0,0,0,0.682,139.5305,137.5105,765.9803,5968.589,1446.923,530.6398,251.348,65.7299,74.9726,33.6519,70.0653,796.5986,2534.461,2973.694,155.3613,269.3455,187.4931,-12.97,85.4969,79.9974,0.3558064516,-0.03028064516,-0.6701612903,N_addition
1995.25,0,0,0,0,0,0,0,0.682,124.4594,134.024,763.6858,5965.607,1446.201,526.8181,253.3879,63.3199,80.3653,34.6952,71.3612,796.7359,2534.453,2973.717,155.3604,269.044,187.4917,-12.9658,85.5436,80.0061,0.268,5.808243333,5.11,N_addition
1995.33,0,0,0,0,0,0,0,0.682,113.2325,131.3187,761.3981,5962.619,1445.479,521.0555,253.5713,59.031,77.703,35.8487,73.5451,796.972,2534.28,2973.763,155.4352,268.6136,187.482,-12.9633,85.5058,80.0124,0.1983870968,13.75423871,12.2266129,N_addition
1995.42,124.8051,112.3246,11.8565,0.624,0,0,0,113.0066,114.5329,130.7285,759.1172,5959.637,1444.756,513.3242,252.3984,53.3595,69.9094,36.8254,75.7003,797.3289,2534.232,2973.83,155.5771,268.0394,187.4557,-12.9601,85.4032,80.0115,0.355,18.01397333,16.55416667,N_addition
1995.5,210.8628,176.5793,32.5693,1.7142,0,0,0,177.2613,121.3498,131.9786,756.8432,5956.664,1444.035,498.845,250.883,43.6463,59.5368,37.361,77.1198,798.0249,2535.195,2973.919,155.8901,266.9622,187.4442,-12.9545,85.2814,80.0292,0.3890322581,21.22815161,19.95,N_addition
1995.58,406.7933,182.8585,103.6147,5.4534,20.676,75.812,18.3787,183.5405,170.3682,138.2939,775.2252,6029.482,1461.688,470.3757,247.2592,28.9797,45.6567,35.164,76.0857,798.959,2537.9,2974.074,156.5208,264.8615,187.4523,-12.9454,85.0916,80.0632,0.4932258065,21.56408387,20.68064516,N_addition
1995.67,587.1751,183.2843,166.169,8.7457,41.2157,151.1242,36.6362,183.9662,201.5702,146.667,793.4119,6101.763,1479.21,448.7719,244.7726,22.0902,39.9792,32.1413,72.9476,798.8666,2538.491,2974.234,156.8439,263.2957,187.4065,-12.9355,84.8806,80.013,0.2293333333,17.12410333,16.875,N_addition
1995.75,635.9194,183.3589,196.0078,10.3162,44.3226,162.5161,39.3978,184.0408,202.1241,152.1678,794.1337,6110.095,1481.232,431.9162,242.753,18.3641,37.9185,29.6867,70.0532,798.1619,2538.702,2974.372,157.0069,262.1152,187.3434,-12.9273,84.7008,79.9501,0.224516129,8.35886129,9.181451613,N_addition
